	|||		|||	
Adam for that we need a tray	|||	n;prop|Adam conj|for det;dem|that pro;sub|we v|need det;art|a n|tray	|||	Adam for that we need a tray
can you put them back in the bag	|||	mod|can pro;per|you v|put-ZERO pro;obj|them adv|back prep|in det;art|the n|bag	|||	can you put them back in the bag
do ~not want to show him	|||	mod|do neg|~not v|want inf|to v|show pro;obj|him	|||	don 't want to show him
h e	|||	n;let|h n;let|e	|||	h e
you think a tiger	|||	pro;per|you v|think det;art|a n|tiger	|||	you think a tiger
you sing it for her	|||	pro;per|you v|sing pro;per|it prep|for pro;obj|her	|||	you sing it for her
is it very early in the morning	|||	aux|be-3S pro;per|it adv|very adv|early prep|in det;art|the n|morning	|||	is it very early in the morning
what happened to the microphone Adam	|||	pro;int|what v|happen-PAST prep|to det;art|the n|microphone n;prop|Adam	|||	what happened to the microphone Adam
what kind d you have	|||	pro;int|what n|kind v|do pro;per|you v|have	|||	what kind d you have
oh you are	|||	co|oh pro;per|you cop|be-PRES	|||	oh you are
why not open it from there	|||	adv;int|why neg|not v|open pro;per|it prep|from adv|there	|||	why not open it from there
it ~be more fun if you do it	|||	pro;per|it cop|~be adv|more adj|fun conj|if pro;per|you v|do pro;per|it	|||	it 's more fun if you do it
where was Paul	|||	adv;int|where cop|be-PAST n;prop|Paul	|||	where was Paul
bow and arrow	|||	n|bow coord|and n|arrow	|||	bow and arrow
can you put the fire out on guns	|||	mod|can pro;per|you v|put-ZERO det;art|the v|fire adv|out prep|on n|gun-PL	|||	can you put the fire out on guns
that ~be a busy bulldozer	|||	pro;dem|that cop|~be det;art|a adj|busy n|bulldoze-dv	|||	that 's a busy bulldozer
while you eat	|||	conj|while pro;per|you v|eat	|||	while you eat
you almost what	|||	pro;per|you adv|almost pro;int|what	|||	you almost what
yes there are other houses	|||	co|yes adv|there cop|be-PRES qn|other n|house-PL	|||	yes there are other houses
shall we put them on the table Adam	|||	mod|shall pro;sub|we v|put-ZERO pro;obj|them prep|on det;art|the n|table n;prop|Adam	|||	shall we put them on the table Adam
oh Adam d you know what these are	|||	co|oh n;prop|Adam v|do pro;per|you v|know pro;int|what pro;dem|these cop|be-PRES	|||	oh Adam d you know what these are
where has Shadow_Gay been	|||	adv;int|where aux|have-3S n;prop|Shadow_Gay cop|be-PASTP	|||	where has Shadow_Gay been
let ~us see if I can get it out this time	|||	v;obj|let pro;obj|~us v|see conj|if pro;sub|I mod|can v|get pro;per|it adv|out pro;dem|this n|time	|||	let 's see if I can get it out this time
a small bowl	|||	det;art|a adj|small n|bowl	|||	a small bowl
you look through here take a picture and then wind the film up	|||	pro;per|you co|look adj|through adv|here v|take det;art|a n|picture coord|and adv;tem|then v|wind det;art|the v|film adv|up	|||	you look through here take a picture and then wind the film up
what d do+you do you think its for	|||	pro;int|what mod|do v;per|do+you v|do pro;per|you v|think det;poss|its prep|for	|||	what d you do you think its for
this is how to grow a goofy garden	|||	pro;dem|this cop|be-3S adv;int|how inf|to v|grow det;art|a adj|goof-dv n|garden	|||	this is how to grow a goofy garden
you need just one more	|||	pro;per|you v|need adv|just det;num|one pro;indef|more	|||	you need just one more
the mountains	|||	det;art|the n|mountain-PL	|||	the mountains
oh you ~be a snake	|||	co|oh pro;per|you aux|~be det;art|a n|snake	|||	oh you 're a snake
it will ~not stay there	|||	pro;per|it mod|will neg|~not cop|stay adv|there	|||	it won 't stay there
what kind o game	|||	pro;int|what n|kind prep|of n|game	|||	what kind o game
how can I make a street light	|||	adv;int|how mod|can pro;sub|I v|make det;art|a n|street n|light	|||	how can I make a street light
would you like to go down and ride on the train	|||	mod|will-COND pro;per|you v|like inf|to v|go adv|down coord|and n|ride prep|on det;art|the n|train	|||	would you like to go down and ride on the train
David used to be a cat	|||	n;prop|David v|use-PAST inf|to cop|be det;art|a n|cat	|||	David used to be a cat
what are you serving	|||	pro;int|what aux|be-PRES pro;per|you part|serve-PRESP	|||	what are you serving
important to who	|||	adj|important prep|to pro;rel|who	|||	important to who
okay green light	|||	co|okay adj|green n|light	|||	okay green light
two truck	|||	det;num|two n|truck	|||	two truck
piece of pie	|||	n|piece prep|of n|pie	|||	piece of pie
can you blow Urs down	|||	mod|can pro;per|you v|blow n;prop|Ursula adv|down	|||	can you blow Urs down
you should have given me seven	|||	pro;per|you mod|should aux|have part|give-PASTP pro;obj|me det;num|seven	|||	you should have given me seven
what ~be the bulldozer song	|||	pro;int|what aux|~be det;art|the n|bulldoze-dv n|song	|||	what 's the bulldozer song
that ~be Cinderella	|||	pro;dem|that cop|~be n;prop|Cinderella	|||	that 's Cinderella
American pole	|||	n;prop|American n|pole	|||	American pole
will you make the star	|||	mod|will pro;per|you v|make det;art|the n|star	|||	will you make the star
he rocks when you brush him	|||	pro;sub|he v|rock-3S conj|when pro;per|you v|brush pro;obj|him	|||	he rocks when you brush him
and scares away	|||	coord|and n|scare-PL adv|away	|||	and scares away
no in front of you	|||	co|no prep|in n|front prep|of pro;per|you	|||	no in front of you
and that ~be a what	|||	coord|and pro;dem|that cop|~be det;art|a pro;int|what	|||	and that 's a what
you ~be Adam	|||	pro;per|you aux|~be n;prop|Adam	|||	you 're Adam
Adam where are you	|||	n;prop|Adam adv;int|where aux|be-PRES pro;per|you	|||	Adam where are you
who says meow	|||	pro;int|who v|say-3S on|meow	|||	who says meow
where is your watch	|||	adv;int|where cop|be-3S det;poss|your n|watch	|||	where is your watch
no you play games with it	|||	qn|no pro;per|you n|play n|game-PL prep|with pro;per|it	|||	no you play games with it
where is the point	|||	adv;int|where cop|be-3S det;art|the n|point	|||	where is the point
Cromer fall shoes	|||	n;prop|Cromer n|fall n|shoe-PL	|||	Cromer fall shoes
be ~not it Chippewa	|||	cop|be neg|~not pro;per|it n;prop|Chippewa	|||	isn 't it Chippewa
bread in there	|||	n|bread prep|in adv|there	|||	bread in there
did you tell Urs where we went yesterday	|||	v|do-PAST pro;per|you v|tell n;prop|Ursula adv;int|where pro;sub|we v|go-PAST adv;tem|yesterday	|||	did you tell Urs where we went yesterday
in the snow	|||	prep|in det;art|the n|snow	|||	in the snow
Adam can you say find the little truck I	|||	n;prop|Adam mod|can pro;per|you v|say v|find det;art|the adj|little n|truck pro;sub|I	|||	Adam can you say find the little truck I
bring them back tomorrow	|||	v|bring pro;obj|them adv|back adv;tem|tomorrow	|||	bring them back tomorrow
I think that ~be very nice of them	|||	pro;sub|I v|think pro;rel|that aux|~be adv|very adj|nice prep|of pro;obj|them	|||	I think that 's very nice of them
meadow pond	|||	adj|meadow n|pond	|||	meadow pond
d you have a dirty nose	|||	mod|do pro;per|you v|have det;art|a adj|dirt-dn n|nose	|||	d you have a dirty nose
my arm is too big	|||	det;poss|my n|arm aux|be-3S adv|too adj|big	|||	my arm is too big
does that fit there Adam	|||	mod|do-3S pro;dem|that v|fit-ZERO adv|there n;prop|Adam	|||	does that fit there Adam
I guess you ~genmod call it barbell	|||	pro;sub|I v|guess pro;per|you mod|~genmod v|call pro;per|it n|barbell	|||	I guess you 'd call it barbell
there ~be one more piece here	|||	pro;exist|there cop|~be pro;indef|one qn|more n|piece adv|here	|||	there 's one more piece here
we rode in a taxi and you sat in a chair	|||	pro;sub|we v|ride-PAST prep|in det;art|a n|taxi coord|and pro;per|you v|sit-PAST prep|in det;art|a n|chair	|||	we rode in a taxi and you sat in a chair
no that ~be not a sword that ~be a knife	|||	co|no pro;dem|that cop|~be neg|not det;art|a n|sword pro;rel|that aux|~be det;art|a n|knife	|||	no that 's not a sword that 's a knife
it ~be not	|||	pro;per|it aux|~be neg|not	|||	it 's not
that ~be not it	|||	pro;dem|that cop|~be neg|not pro;per|it	|||	that 's not it
what ~be you doing over in the corner Paul	|||	pro;int|what aux|~be pro;per|you part|do-PRESP adv|over prep|in det;art|the n|corner n;prop|Paul	|||	what 're you doing over in the corner Paul
he ~be happy	|||	pro;sub|he cop|~be adj|happy	|||	he 's happy
pushing dirt	|||	part|push-PRESP n|dirt	|||	pushing dirt
well come on	|||	co|well v|come adv|on	|||	well come on
a lasso	|||	det;art|a n|lasso	|||	a lasso
well put it down on the floor and do it	|||	co|well v|put-ZERO pro;per|it adv|down prep|on det;art|the n|floor coord|and v|do pro;per|it	|||	well put it down on the floor and do it
no you have a piece of string	|||	co|no pro;per|you v|have det;art|a n|piece prep|of n|string	|||	no you have a piece of string
is that your favorite kind	|||	cop|be-3S pro;rel|that det;poss|your n|favorite n|kind	|||	is that your favorite kind
no no do ~not put that in your mouth Adam	|||	co|no co|no mod|do neg|~not v|put-ZERO pro;dem|that prep|in det;poss|your n|mouth n;prop|Adam	|||	no no don 't put that in your mouth Adam
shall I tie it	|||	mod|shall pro;sub|I v|tie pro;per|it	|||	shall I tie it
does that mean you take two steps	|||	mod|do-3S pro;dem|that v|mean pro;per|you v|take det;num|two n|step-PL	|||	does that mean you take two steps
Adam ~s busy	|||	n;prop|Adam poss|~s adj|busy	|||	Adam 's busy
I ~be sure I can ~not either	|||	pro;sub|I aux|~be adv|sure pro;sub|I mod|can neg|~not adv|either	|||	I 'm sure I can 't either
this be ~not tape	|||	pro;dem|this cop|be neg|~not n|tape	|||	this isn 't tape
it ~be right underneath the ink	|||	pro;per|it cop|~be adv|right prep|underneath det;art|the n|ink	|||	it 's right underneath the ink
you tell me what sound they make as you pick them up	|||	pro;per|you v|tell pro;obj|me pro;int|what n|sound pro;sub|they v|make prep|as pro;per|you v|pick pro;obj|them adv|up	|||	you tell me what sound they make as you pick them up
some blood on you	|||	qn|some n|blood prep|on pro;per|you	|||	some blood on you
you leave his pencil in there Adam	|||	pro;per|you v|leave det;poss|his n|pencil prep|in adv|there n;prop|Adam	|||	you leave his pencil in there Adam
what ~be that a violin	|||	pro;int|what aux|~be pro;rel|that det;art|a n|violin	|||	what 's that a violin
now it ~be large enough	|||	adv|now pro;per|it cop|~be n|large adv|enough	|||	now it 's large enough
she ~be knitting	|||	pro;sub|she aux|~be part|knit-PRESP	|||	she 's knitting
what about a bumble bee	|||	pro;int|what adv|about det;art|a v|bumble n|bee	|||	what about a bumble bee
that pan yes put it down	|||	pro;dem|that n|pan co|yes v|put-ZERO pro;per|it adv|down	|||	that pan yes put it down
I do ~not want any butter that might fall off the truck	|||	pro;sub|I mod|do neg|~not v|want qn|any n|butter pro;rel|that mod|might v|fall prep|off det;art|the n|truck	|||	I don 't want any butter that might fall off the truck
Cromer is big and strong	|||	n;prop|Cromer cop|be-3S adj|big coord|and adj|strong	|||	Cromer is big and strong
well what does that mean	|||	co|well pro;int|what mod|do-3S pro;dem|that adj|mean	|||	well what does that mean
why d you call those sunglasses	|||	adv;int|why mod|do pro;per|you v|call pro;dem|those n|sunglass-PL	|||	why d you call those sunglasses
I meant for you to write on the small pad	|||	pro;sub|I v|mean-PAST prep|for pro;per|you inf|to v|write prep|on det;art|the adj|small n|pad	|||	I meant for you to write on the small pad
it already has a lock in it I think	|||	pro;per|it adv|already v|have-3S det;art|a n|lock prep|in pro;per|it pro;sub|I v|think	|||	it already has a lock in it I think
now the tricycle is fixed	|||	adv|now det;art|the n|tricycle aux|be-3S part|fix-PASTP	|||	now the tricycle is fixed
it ~be eleven fifteen	|||	pro;per|it aux|~be det;num|eleven det;num|fifteen	|||	it 's eleven fifteen
d you want me to fix it	|||	mod|do pro;per|you v|want pro;obj|me inf|to v|fix pro;per|it	|||	d you want me to fix it
he ~be going to blow in the other room	|||	pro;sub|he aux|~be part|go-PRESP prep|to n|blow prep|in det;art|the qn|other n|room	|||	he 's going to blow in the other room
did you bake that yourself	|||	mod|do-PAST pro;per|you v|bake pro;rel|that pro;refl|yourself	|||	did you bake that yourself
here ~be a gas station	|||	pro;exist|here cop|~be det;art|a n|gas n|station	|||	here 's a gas station
my turn	|||	det;poss|my n|turn	|||	my turn
no there are no more	|||	co|no adv|there cop|be-PRES qn|no pro;indef|more	|||	no there are no more
he ~be just looking	|||	pro;sub|he aux|~be adv|just part|look-PRESP	|||	he 's just looking
he has big wings	|||	pro;sub|he aux|have-3S adj|big n|wing-PL	|||	he has big wings
what color d you want	|||	pro;int|what n|color v|do pro;per|you v|want	|||	what color d you want
what happens if you turn around like that	|||	pro;int|what v|happen-3S conj|if pro;per|you v|turn adv|around prep|like pro;dem|that	|||	what happens if you turn around like that
from the baseball player yes	|||	prep|from det;art|the n|baseball n|play-dv co|yes	|||	from the baseball player yes
no no Paul can ~not have any	|||	co|no co|no n;prop|Paul mod|can neg|~not v|have qn|any	|||	no no Paul can 't have any
are those strong men	|||	cop|be-PRES pro;dem|those adj|strong n|man-PL	|||	are those strong men
will ~not they be a little dirty	|||	mod|will neg|~not pro;sub|they cop|be det;art|a adj|little adj|dirt-dn	|||	won 't they be a little dirty
want to try it in here	|||	v|want inf|to v|try pro;per|it prep|in adv|here	|||	want to try it in here
are you in a parade or in a band	|||	cop|be-PRES pro;per|you prep|in det;art|a n|parade coord|or prep|in det;art|a n|band	|||	are you in a parade or in a band
write on the other side honey	|||	v|write prep|on det;art|the qn|other n|side n|honey	|||	write on the other side honey
they ~be going to burn the house	|||	pro;sub|they aux|~be part|go-PRESP inf|to v|burn det;art|the n|house	|||	they 're going to burn the house
you ~be picking the dirt up with your bulldozer	|||	pro;per|you aux|~be part|pick-PRESP det;art|the n|dirt adv|up prep|with det;poss|your n|bulldoze-dv	|||	you 're picking the dirt up with your bulldozer
put your screw back in	|||	v|put-ZERO det;poss|your n|screw adj|back adv|in	|||	put your screw back in
you lost some germs from dirty hands	|||	pro;per|you v|lose-PAST qn|some n|germ-PL prep|from adj|dirt-dn n|hand-PL	|||	you lost some germs from dirty hands
oh we ~be going to take turns	|||	co|oh pro;sub|we aux|~be part|go-PRESP inf|to v|take n|turn-PL	|||	oh we 're going to take turns
let ~us call him Clever the Clown	|||	v;obj|let pro;obj|~us v|call pro;obj|him n;prop|Clever det;art|the n;prop|Clown	|||	let 's call him Clever the Clown
he had a little toy that rolled away from him and he sat there wondering whether it would be worth going to get or not	|||	pro;sub|he v|have-PAST det;art|a adj|little n|toy pro;rel|that v|roll-PAST adv|away prep|from pro;obj|him coord|and pro;sub|he v|sit-PAST adv|there part|wonder-PRESP conj|whether pro;per|it mod|will-COND cop|be n|worth part|go-PRESP inf|to v|get coord|or neg|not	|||	he had a little toy that rolled away from him and he sat there wondering whether it would be worth going to get or not
that ~be a big camera	|||	pro;dem|that cop|~be det;art|a adj|big n|camera	|||	that 's a big camera
oh is that aspirin	|||	co|oh cop|be-3S pro;dem|that n|aspirin	|||	oh is that aspirin
get up	|||	v|get adv|up	|||	get up
you put what in there	|||	pro;per|you v|put-ZERO det;int|what adv|in adv|there	|||	you put what in there
well we had all those fruits strawberries and cherries remember	|||	co|well pro;sub|we v|have-PAST qn|all pro;dem|those n|fruit-PL n|strawberry-PL coord|and n|cherry-PL co|remember	|||	well we had all those fruits strawberries and cherries remember
where ~be yours	|||	adv;int|where cop|~be pro;poss|yours	|||	where 's yours
just one wheel left	|||	adv|just det;num|one n|wheel v|leave-PAST	|||	just one wheel left
you hit the trash can	|||	pro;per|you v|hit-ZERO det;art|the n|trash mod|can	|||	you hit the trash can
how do you know what time it is	|||	adv;int|how mod|do pro;per|you v|know pro;int|what n|time pro;per|it cop|be-3S	|||	how do you know what time it is
you can roll it again	|||	pro;per|you mod|can v|roll pro;per|it adv|again	|||	you can roll it again
d you know how to say please Adam Smith	|||	mod|do pro;per|you v|know adv;int|how inf|to v|say co|please n;prop|Adam n;prop|Smith	|||	d you know how to say please Adam Smith
Adam if we put this here and we all start racing who wins the race	|||	n;prop|Adam conj|if pro;sub|we v|put-ZERO pro;dem|this adv|here coord|and pro;sub|we post|all v|start part|race-PRESP pro;rel|who v|win-3S det;art|the n|race	|||	Adam if we put this here and we all start racing who wins the race
do ~not whisper	|||	mod|do neg|~not v|whisper	|||	don 't whisper
pen for writing	|||	n|pen prep|for n;gerund|write-PRESP	|||	pen for writing
is there anything on the other side	|||	cop|be-3S adv|there pro;indef|anything prep|on det;art|the qn|other n|side	|||	is there anything on the other side
this truck	|||	pro;dem|this n|truck	|||	this truck
I do ~not think you need any more	|||	pro;sub|I mod|do neg|~not v|think pro;per|you v|need qn|any pro;indef|more	|||	I don 't think you need any more
a t+square for making things straight	|||	det;art|a n|t+square conj|for n;gerund|make-PRESP n|thing-PL n|straight	|||	a t for making things straight
I lost my sandwich apart	|||	pro;sub|I v|lose-PAST det;poss|my n|sandwich adv|apart	|||	I lost my sandwich apart
I do ~not know but do ~not you bother it again	|||	pro;sub|I mod|do neg|~not v|know conj|but mod|do neg|~not pro;per|you v|bother pro;per|it adv|again	|||	I don 't know but don 't you bother it again
d you like to play with your daddy	|||	mod|do pro;per|you v|like inf|to v|play prep|with det;poss|your n|daddy	|||	d you like to play with your daddy
it ~be so hard	|||	pro;per|it cop|~be adv|so adv|hard	|||	it 's so hard
what about that	|||	pro;int|what adv|about pro;dem|that	|||	what about that
which one d you want	|||	pro;rel|which pro;indef|one mod|do pro;per|you v|want	|||	which one d you want
did I throw it away or did his Mommy throw it away	|||	mod|do-PAST pro;sub|I v|throw pro;per|it adv|away coord|or v|do-PAST det;poss|his n;prop|Mommy v|throw pro;per|it adv|away	|||	did I throw it away or did his Mommy throw it away
some wood	|||	qn|some n|wood	|||	some wood
in my purse	|||	prep|in det;poss|my n|purse	|||	in my purse
but he was much bigger than Perro	|||	conj|but pro;sub|he cop|be-PAST adv|much adj|big-CP prep|than n;prop|Perro	|||	but he was much bigger than Perro
who fell down	|||	pro;int|who v|fall-PAST adv|down	|||	who fell down
your Jiminy_Cricket	|||	det;poss|your n;prop|Jiminy_Cricket	|||	your Jiminy_Cricket
Adam Smith come back here	|||	n;prop|Adam n;prop|Smith v|come adv|back adv|here	|||	Adam Smith come back here
did you ask	|||	v|do-PAST pro;per|you v|ask	|||	did you ask
and do what	|||	coord|and v|do pro;int|what	|||	and do what
two people doing what	|||	det;num|two n|person-PL part|do-PRESP pro;int|what	|||	two people doing what
no it do ~not need to go in the refrigerator	|||	co|no pro;per|it mod|do neg|~not v|need inf|to v|go prep|in det;art|the n|refrigerator	|||	no it doesn 't need to go in the refrigerator
d you want to see Popeye	|||	mod|do pro;per|you v|want inf|to v|see n;prop|Popeye	|||	d you want to see Popeye
then we have_to make a sprinkling can	|||	adv;tem|then pro;sub|we mod;aux|have_to v|make det;art|a part|sprinkle-PRESP mod|can	|||	then we have_to make a sprinkling can
I ~be going to be what	|||	pro;sub|I aux|~be part|go-PRESP inf|to cop|be pro;int|what	|||	I 'm going to be what
he might hurt himself on this	|||	pro;sub|he mod|might v|hurt-ZERO pro;refl|himself prep|on pro;dem|this	|||	he might hurt himself on this
he ~be not quite big enough yet	|||	pro;sub|he aux|~be neg|not adv|quite adj|big adv|enough adv|yet	|||	he 's not quite big enough yet
a tree	|||	det;art|a n|tree	|||	a tree
that ~be a blow+out	|||	pro;dem|that cop|~be det;art|a n|blow+out	|||	that 's a blow
come from	|||	v|come prep|from	|||	come from
it ~be not time for your lunch yet	|||	pro;per|it cop|~be neg|not v|time prep|for det;poss|your n|lunch adv|yet	|||	it 's not time for your lunch yet
you lost something	|||	pro;per|you v|lose-PAST pro;indef|something	|||	you lost something
you rode on the Dodge car	|||	pro;per|you v|ride-PAST prep|on det;art|the n;prop|Dodge n|car	|||	you rode on the Dodge car
no she has only has two children	|||	co|no pro;sub|she v|have-3S adv|only v|have-3S det;num|two n|child-PL	|||	no she has only has two children
it ~be to make strong muscles	|||	pro;per|it aux|~be inf|to v|make adj|strong n|muscle-PL	|||	it 's to make strong muscles
would you show that to Ursula	|||	mod|will-COND pro;per|you v|show pro;dem|that prep|to n;prop|Ursula	|||	would you show that to Ursula
did you get all of them out	|||	v|do-PAST pro;per|you v|get qn|all prep|of pro;obj|them adv|out	|||	did you get all of them out
rope for tricks	|||	n|rope prep|for n|trick-PL	|||	rope for tricks
it ~be a Sky_Dart	|||	pro;per|it cop|~be det;art|a n;prop|Sky_Dart	|||	it 's a Sky_Dart
what ~be the problem	|||	pro;int|what aux|~be det;art|the n|problem	|||	what 's the problem
do you think he likes that	|||	mod|do pro;per|you v|think pro;sub|he v|like-3S pro;dem|that	|||	do you think he likes that
what dropped in the water	|||	pro;int|what v|drop-PAST prep|in det;art|the n|water	|||	what dropped in the water
who is there	|||	pro;int|who cop|be-3S adv|there	|||	who is there
what would you want to put	|||	pro;int|what mod|will-COND pro;per|you v|want inf|to v|put-ZERO	|||	what would you want to put
I have very long gloves	|||	pro;sub|I v|have adv|very adj|long n|glove-PL	|||	I have very long gloves
the shape of the scissors	|||	det;art|the n|shape prep|of det;art|the n|scissors	|||	the shape of the scissors
what did you hit	|||	pro;int|what mod|do-PAST pro;per|you v|hit-ZERO	|||	what did you hit
told me	|||	v|tell-PAST pro;obj|me	|||	told me
do you remember what they ~be having for supper	|||	mod|do pro;per|you v|remember pro;int|what pro;sub|they aux|~be part|have-PRESP prep|for n|supper	|||	do you remember what they 're having for supper
d you know this letter	|||	mod|do pro;per|you v|know pro;dem|this n|letter	|||	d you know this letter
what do you think this is	|||	pro;int|what mod|do pro;per|you v|think pro;dem|this cop|be-3S	|||	what do you think this is
here Paul here ~be a pretend for you	|||	adv|here n;prop|Paul pro;exist|here cop|~be det;art|a adj|pretend prep|for pro;per|you	|||	here Paul here 's a pretend for you
you ~be missing the factory	|||	pro;per|you aux|~be part|miss-PRESP det;art|the n|factory	|||	you 're missing the factory
what kind of dog	|||	pro;int|what n|kind prep|of n|dog	|||	what kind of dog
what are you talking about a roadgrader for	|||	pro;int|what aux|be-PRES pro;per|you part|talk-PRESP prep|about det;art|a n|roadgrader prep|for	|||	what are you talking about a roadgrader for
look under your other wheel	|||	co|look adv|under det;poss|your qn|other n|wheel	|||	look under your other wheel
that be ~not slow	|||	pro;rel|that cop|be neg|~not adv|slow	|||	that isn 't slow
suits for a special	|||	v|suit-3S prep|for det;art|a n|special	|||	suits for a special
I do ~not think I ~have ever seen anything like that	|||	pro;sub|I mod|do neg|~not v|think pro;sub|I aux|~have adv|ever part|see-PASTP pro;indef|anything prep|like pro;dem|that	|||	I don 't think I 've ever seen anything like that
she ~be not a cry baby	|||	pro;sub|she aux|~be neg|not det;art|a v|cry n|baby	|||	she 's not a cry baby
so you mean elevator	|||	co|so pro;per|you adj|mean n|elevator	|||	so you mean elevator
what would you like its name to be	|||	pro;int|what mod|will-COND pro;per|you v|like det;poss|its n|name inf|to cop|be	|||	what would you like its name to be
let Paul see it please	|||	v|let-ZERO n;prop|Paul v|see pro;per|it co|please	|||	let Paul see it please
spill it or pour it	|||	v|spill pro;per|it coord|or v|pour pro;per|it	|||	spill it or pour it
oh mhm	|||	co|oh co|yes	|||	oh mhm
no you just take the cup	|||	co|no pro;per|you adv|just v|take det;art|the n|cup	|||	no you just take the cup
you threw them away	|||	pro;per|you v|throw-PAST pro;obj|them adv|away	|||	you threw them away
he was playing with this one	|||	pro;sub|he aux|be-PAST part|play-PRESP prep|with pro;dem|this pro;indef|one	|||	he was playing with this one
I know	|||	pro;sub|I v|know	|||	I know
I ~will trim it just a bit	|||	pro;sub|I mod|~will v|trim pro;per|it adv|just det;art|a n|bit	|||	I 'll trim it just a bit
Adam be careful with the pencil	|||	n;prop|Adam aux|be co|careful prep|with det;art|the n|pencil	|||	Adam be careful with the pencil
Adam why do ~not you show Ursula what you did yesterday	|||	n;prop|Adam adv;int|why mod|do neg|~not pro;per|you v|show n;prop|Ursula pro;int|what pro;per|you v|do-PAST adv;tem|yesterday	|||	Adam why don 't you show Ursula what you did yesterday
doubly doubly with gum	|||	adv|double-dadj adv|double-dadj prep|with n|gum	|||	doubly doubly with gum
the jeep is coming in	|||	det;art|the n|jeep aux|be-3S part|come-PRESP adv|in	|||	the jeep is coming in
yes I heard you thank_you	|||	co|yes pro;sub|I v|hear-PAST pro;per|you n|thank_you	|||	yes I heard you thank_you
no you do it	|||	co|no pro;per|you v|do pro;per|it	|||	no you do it
well put your cup on the table there	|||	co|well v|put-ZERO det;poss|your n|cup prep|on det;art|the n|table adv|there	|||	well put your cup on the table there
can you put it back together	|||	mod|can pro;per|you v|put-ZERO pro;per|it adv|back adv|together	|||	can you put it back together
you ~be heavier than Paul	|||	pro;per|you aux|~be adj|heavy-CP prep|than n;prop|Paul	|||	you 're heavier than Paul
fruit basket	|||	n|fruit n|basket	|||	fruit basket
did you see the monkeys	|||	v|do-PAST pro;per|you v|see det;art|the n|monkey-PL	|||	did you see the monkeys
let ~us hear your nose squeak	|||	v;obj|let pro;obj|~us v|hear det;poss|your n|nose n|squeak	|||	let 's hear your nose squeak
let ~us do some watches	|||	v;obj|let pro;obj|~us v|do qn|some n|watch-PL	|||	let 's do some watches
I do ~not recognize it	|||	pro;sub|I mod|do neg|~not v|recognize pro;per|it	|||	I don 't recognize it
the little girl	|||	det;art|the adj|little n|girl	|||	the little girl
no do ~not put it on your tricycle Adam	|||	co|no mod|do neg|~not v|put-ZERO pro;per|it prep|on det;poss|your n|tricycle n;prop|Adam	|||	no don 't put it on your tricycle Adam
thank_you yes	|||	co|thank_you co|yes	|||	thank_you yes
move your own road grader	|||	v|move det;poss|your adj|own n|road n|grade-dv	|||	move your own road grader
can you make a basket	|||	mod|can pro;per|you v|make det;art|a n|basket	|||	can you make a basket
that ~be an h for horse	|||	pro;dem|that cop|~be det;art|a n;let|h prep|for n|horse	|||	that 's an h for horse
where are you going	|||	adv;int|where aux|be-PRES pro;per|you part|go-PRESP	|||	where are you going
did you see bunny+rabbit	|||	v|do-PAST pro;per|you v|see n|bunny+rabbit	|||	did you see bunny
what are cowboys doing	|||	pro;int|what aux|be-PRES n|cow+boy part|do-PRESP	|||	what are cowboys doing
oh I see you put some medicine on my hand and washed it off	|||	co|oh pro;sub|I v|see pro;per|you v|put-ZERO qn|some n|medicine prep|on det;poss|my n|hand coord|and v|wash-PAST pro;per|it adv|off	|||	oh I see you put some medicine on my hand and washed it off
oh he was just visiting Paul while you were busy doing something else	|||	co|oh pro;sub|he cop|be-PAST adv|just part|visit-PRESP n;prop|Paul conj|while pro;per|you cop|be-PAST adj|busy part|do-PRESP pro;indef|something post|else	|||	oh he was just visiting Paul while you were busy doing something else
you throw it	|||	pro;per|you v|throw pro;per|it	|||	you throw it
the whole thing	|||	det;art|the adj|whole n|thing	|||	the whole thing
are you sure	|||	cop|be-PRES pro;per|you adj|sure	|||	are you sure
no it ~be from Robin	|||	co|no pro;per|it aux|~be prep|from n;prop|Robin	|||	no it 's from Robin
how do you know that ~be coffee	|||	adv;int|how v|do pro;per|you v|know pro;rel|that aux|~be n|coffee	|||	how do you know that 's coffee
would you like some milk	|||	mod|will-COND pro;per|you v|like qn|some n|milk	|||	would you like some milk
in there	|||	prep|in adv|there	|||	in there
do ~not make him cry	|||	mod|do neg|~not v|make pro;obj|him v|cry	|||	don 't make him cry
I ~be not hungry	|||	pro;sub|I cop|~be neg|not adj|hungry	|||	I 'm not hungry
oh you ~be taping the paper so no one will tear it	|||	co|oh pro;per|you aux|~be part|tape-PRESP det;art|the n|paper adv|so qn|no pro;indef|one mod|will v|tear pro;per|it	|||	oh you 're taping the paper so no one will tear it
Adam shall I strap it on for you	|||	n;prop|Adam mod|shall pro;sub|I v|strap pro;per|it adv|on prep|for pro;per|you	|||	Adam shall I strap it on for you
you want to show it to your Mother	|||	pro;per|you v|want inf|to v|show pro;per|it prep|to det;poss|your n;prop|Mother	|||	you want to show it to your Mother
now how many do you have	|||	adv|now adv;int|how qn|many v|do pro;per|you v|have	|||	now how many do you have
what ~be that doing	|||	pro;int|what cop|~be pro;dem|that part|do-PRESP	|||	what 's that doing
in it	|||	prep|in pro;per|it	|||	in it
why ~be you watching me	|||	adv;int|why aux|~be pro;per|you part|watch-PRESP pro;obj|me	|||	why 're you watching me
